@RELATION testset

@ATTRIBUTE apk_size REAL
@ATTRIBUTE dex_size REAL
@ATTRIBUTE min_andrversion INTEGER
@ATTRIBUTE max_andrversion INTEGER
@ATTRIBUTE target_andrversion INTEGER
@ATTRIBUTE security {-1, 0}
@ATTRIBUTE methodCount INTEGER
@ATTRIBUTE classCount INTEGER
@ATTRIBUTE crypto_count INTEGER
@ATTRIBUTE dynCode_count INTEGER
@ATTRIBUTE native_count INTEGER
@ATTRIBUTE reflect_count INTEGER
@ATTRIBUTE sendSMS {1, 0}
@ATTRIBUTE deleteSMS {1, 0}
@ATTRIBUTE interruptSMS {1, 0}
@ATTRIBUTE httpPost {1, 0}
@ATTRIBUTE deviceId {1, 0}
@ATTRIBUTE simCountry {1, 0}
@ATTRIBUTE installedPkg {1, 0}
@ATTRIBUTE loadOtherCode {1, 0}
@ATTRIBUTE subprocess {1, 0}
@ATTRIBUTE executeOtherCode {1, 0}
@ATTRIBUTE jni {1, 0}
@ATTRIBUTE unix {1, 0}
@ATTRIBUTE buttonCount INTEGER
@ATTRIBUTE TextViewCount INTEGER
@ATTRIBUTE EditViewCount INTEGER
@ATTRIBUTE ImageButtonCount INTEGER
@ATTRIBUTE CheckBoxCount INTEGER
@ATTRIBUTE RadioGroupCount INTEGER
@ATTRIBUTE RadioButtonCount INTEGER
@ATTRIBUTE ToastCount INTEGER
@ATTRIBUTE SpinnerCount INTEGER
@ATTRIBUTE ListViewCount INTEGER
@ATTRIBUTE fileCount INTEGER
@ATTRIBUTE INTERNET {1, 0}
@ATTRIBUTE SET_DEBUG_APP {1, 0}
@ATTRIBUTE MODIFY_PHONE_STATE {1, 0}
@ATTRIBUTE RECORD_AUDIO {1, 0}
@ATTRIBUTE RECEIVE_BOOT_COMPLETED {1, 0}
@ATTRIBUTE RECEIVE_MMS {1, 0}
@ATTRIBUTE RECEIVE_SMS {1, 0}
@ATTRIBUTE RECEIVE_WAP_PUSH {1, 0}
@ATTRIBUTE SEND_SMS {1, 0}
@ATTRIBUTE CALL_PHONE {1, 0}
@ATTRIBUTE CALL_PRIVILEGED {1, 0}
@ATTRIBUTE PROCESS_OUTGOING_CALLS {1, 0}
@ATTRIBUTE READ_CALL_LOG {1, 0}
@ATTRIBUTE READ_EXTERNAL_STORAGE {1, 0}
@ATTRIBUTE READ_LOGS {1, 0}
@ATTRIBUTE ACCESS_COARSE_LOCATION {1, 0}
@ATTRIBUTE ACCESS_FINE_LOCATION {1, 0}
@ATTRIBUTE BLUETOOTH {1, 0}
@ATTRIBUTE CAMERA {1, 0}
@ATTRIBUTE INSTALL_PACKAGES {1, 0}
@ATTRIBUTE NFC {1, 0}
@ATTRIBUTE READ_CONTACTS {1, 0}
@ATTRIBUTE permissionCount INTEGER
@ATTRIBUTE activityCount INTEGER
@ATTRIBUTE serviceCount INTEGER
@ATTRIBUTE receiverCount INTEGER
@ATTRIBUTE providerCount INTEGER
@ATTRIBUTE exportedCount INTEGER
@ATTRIBUTE hPictureCount INTEGER
@ATTRIBUTE mPictureCount INTEGER
@ATTRIBUTE lPictureCount INTEGER
@ATTRIBUTE xPictureCount INTEGER
@ATTRIBUTE totalCount INTEGER

@DATA
56840.0,38704.0,3,0,0,0,135,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
202666.0,102588.0,4,0,0,0,386,72,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,5,6,1,0,0,0,0,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,1,1,0,3
98788.0,160208.0,4,0,0,0,662,130,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,2,1,1,0,4
396349.0,389952.0,3,0,0,0,1391,283,0,0,15,0,1,1,0,1,1,0,0,0,0,0,0,0,4,8,6,0,0,0,0,0,0,0,62,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,17,15,2,1,0,0,0,0,0,0,0
3988433.0,733236.0,14,0,22,0,4303,844,0,0,50,11,0,1,0,1,1,0,1,0,1,0,1,0,0,22,0,0,2,1,0,1,0,4,493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,19,5,8,1,0,0,0,0,0,0
352134.0,421352.0,7,0,0,0,1467,272,0,0,37,30,0,0,0,1,1,0,0,0,1,0,0,0,10,3,4,8,1,0,4,0,0,2,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0
943542.0,413780.0,3,0,0,0,1772,314,0,0,27,23,0,1,0,1,0,1,1,0,1,0,0,0,0,9,0,1,0,0,0,0,0,1,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,29,15,1,6,0,0,0,0,0,0,0
2637497.0,423440.0,3,0,4,0,1480,264,0,0,50,26,0,0,0,1,1,0,0,0,1,0,0,0,12,6,3,0,0,0,0,0,0,0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8,0,1,0,0,0,0,0,0,0
148671.0,194300.0,3,0,0,0,807,147,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0
268168.0,281100.0,10,0,23,0,1211,341,0,0,15,45,0,0,0,0,0,0,0,0,1,0,0,0,0,23,6,0,0,0,0,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,0,5,0,0,12,12,0,12,36
1407371.0,419676.0,7,0,16,0,1645,355,0,0,31,2,1,1,0,0,1,1,1,0,0,0,0,0,0,10,0,0,3,0,0,0,0,1,253,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,20,27,1,6,0,0,159,4,0,0,163
38911.0,10348.0,1,0,0,0,26,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
59101.0,31664.0,1,0,0,0,114,24,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0
467504.0,226240.0,8,0,10,0,823,139,0,0,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,7,1,3,0,0,23,19,19,0,61
3582202.0,876316.0,7,0,0,0,4860,1017,0,0,59,50,1,1,0,1,1,0,1,0,1,0,1,0,64,147,14,3,26,6,28,2,2,32,865,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,49,90,8,14,1,0,308,18,13,0,339
202961.0,213064.0,3,0,4,0,725,122,0,0,15,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,9,7,1,2,1,0,0,0,0,0,0
166732.0,215700.0,3,0,0,0,1563,266,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,13,5,11,0,0,0,0,0,1,3,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0
70651.0,43020.0,3,0,3,0,166,52,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,7,1,2,0,1,9,0,0,0,9
315862.0,395788.0,3,0,0,0,1647,338,0,0,7,0,0,1,0,0,0,0,0,0,1,0,1,0,3,9,6,0,2,0,1,0,2,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,0,1,1,0,1,1,1,0,3
63615.0,60412.0,3,0,0,0,268,43,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,1,0,3
259786.0,191596.0,3,0,8,0,931,209,0,0,19,0,0,1,0,0,0,0,0,0,0,0,1,0,5,19,6,11,6,0,8,0,0,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,1,0,0,0,1
118789.0,27944.0,3,0,0,0,100,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2155686.0,221584.0,3,0,0,0,1335,256,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,9,41,47,33,8,0,2,0,2,3,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,1,0,0,0,0,0,0,0
105015.0,88172.0,3,0,0,0,399,68,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
827942.0,1291828.0,16,0,21,0,8976,1220,0,0,95,15,0,0,0,1,1,0,0,0,1,0,0,0,0,25,3,4,2,0,0,0,0,4,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,4,0,1,4,3,3,4,14
56439.0,59376.0,2,0,0,0,200,35,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
958671.0,288468.0,3,0,0,0,1305,254,0,0,17,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7,0,0,1,0,0,125,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,31,26,5,5,0,0,0,0,0,0,0
473443.0,125324.0,3,0,0,0,456,81,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,21,0,1,0,0,0,0,0,0,124,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0
1401487.0,304064.0,8,0,21,0,19,3,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,17,4,2,8,31
1363074.0,827664.0,3,0,12,0,2806,476,0,0,115,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0,72,0,72,0,144
136127.0,121156.0,3,0,0,0,446,85,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,10,0,0,0,2,0,0,0,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,3,0,1,0,0,0,0,0,0,0
278870.0,244472.0,1,0,0,0,836,147,0,0,31,8,1,0,0,1,1,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,10,2,1,1,0,0,0,0,0,0,0
3670717.0,782540.0,8,0,0,0,4806,783,0,0,75,0,0,0,0,1,1,0,1,0,1,0,1,0,27,107,3,7,6,0,0,2,0,23,829,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29,30,5,7,0,0,286,1,1,115,403
468697.0,230708.0,3,0,0,0,924,139,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,2,6,0,0,0,4,6,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,1,0,0,0,0,0,0,0
211749.0,267816.0,3,0,0,0,882,156,0,0,32,10,1,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,1,0,12,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,12,2,1,1,0,0,0,0,0,0,0
91434.0,84596.0,3,0,0,0,267,73,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,10,7,6,0,0,0,0,0,0,0,25,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,13,5,1,2,0,0,0,0,0,0,0
