@relation testset

@attribute apk_size numeric
@attribute dex_size numeric
@attribute min_andrversion numeric
@attribute max_andrversion numeric
@attribute target_andrversion numeric
@attribute security {-1,0}
@attribute methodCount numeric
@attribute classCount numeric
@attribute crypto_count numeric
@attribute dynCode_count numeric
@attribute native_count numeric
@attribute reflect_count numeric
@attribute sendSMS {1,0}
@attribute deleteSMS {1,0}
@attribute interruptSMS {1,0}
@attribute httpPost {1,0}
@attribute deviceId {1,0}
@attribute simCountry {1,0}
@attribute installedPkg {1,0}
@attribute loadOtherCode {1,0}
@attribute subprocess {1,0}
@attribute executeOtherCode {1,0}
@attribute jni {1,0}
@attribute unix {1,0}
@attribute buttonCount numeric
@attribute TextViewCount numeric
@attribute EditViewCount numeric
@attribute ImageButtonCount numeric
@attribute CheckBoxCount numeric
@attribute RadioGroupCount numeric
@attribute RadioButtonCount numeric
@attribute ToastCount numeric
@attribute SpinnerCount numeric
@attribute ListViewCount numeric
@attribute fileCount numeric
@attribute INTERNET {1,0}
@attribute SET_DEBUG_APP {1,0}
@attribute MODIFY_PHONE_STATE {1,0}
@attribute RECORD_AUDIO {1,0}
@attribute RECEIVE_BOOT_COMPLETED {1,0}
@attribute RECEIVE_MMS {1,0}
@attribute RECEIVE_SMS {1,0}
@attribute RECEIVE_WAP_PUSH {1,0}
@attribute SEND_SMS {1,0}
@attribute CALL_PHONE {1,0}
@attribute CALL_PRIVILEGED {1,0}
@attribute PROCESS_OUTGOING_CALLS {1,0}
@attribute READ_CALL_LOG {1,0}
@attribute READ_EXTERNAL_STORAGE {1,0}
@attribute READ_LOGS {1,0}
@attribute ACCESS_COARSE_LOCATION {1,0}
@attribute ACCESS_FINE_LOCATION {1,0}
@attribute BLUETOOTH {1,0}
@attribute CAMERA {1,0}
@attribute INSTALL_PACKAGES {1,0}
@attribute NFC {1,0}
@attribute READ_CONTACTS {1,0}
@attribute permissionCount numeric
@attribute activityCount numeric
@attribute serviceCount numeric
@attribute receiverCount numeric
@attribute providerCount numeric
@attribute exportedCount numeric
@attribute hPictureCount numeric
@attribute mPictureCount numeric
@attribute lPictureCount numeric
@attribute xPictureCount numeric
@attribute totalCount numeric

@data
56840,38704,3,0,0,0,135,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1656996,1502368,14,0,22,0,10121,1667,0,0,74,26,0,0,0,1,1,0,1,0,0,0,0,0,0,26,0,6,2,0,1,0,0,4,540,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,5,0,1,90,88,0,92,270
202666,102588,4,0,0,0,386,72,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,5,0,1,0,0,0,0,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,1,0,3
13841830,5988072,10,0,19,0,31515,5361,0,0,664,373,1,0,0,1,1,0,1,0,1,0,1,0,51,777,0,3,45,1,4,0,2,77,2379,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,168,28,53,13,5,957,16,0,182,1155
98788,160208,4,0,0,0,662,130,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,4
8046825,3802380,11,0,23,0,26737,4130,0,0,164,90,1,0,0,1,1,0,1,0,0,0,1,0,22,83,0,2,1,0,1,0,1,10,1789,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,32,21,29,0,1,221,183,1,182,587
18546787,7895760,14,0,23,0,49768,6521,0,0,1592,185,1,0,0,1,1,1,1,0,1,0,1,0,81,399,0,24,37,3,0,0,0,19,3550,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,665,65,57,17,12,0,0,0,0,0
9018211,8625088,9,0,17,0,54934,8725,0,0,1462,299,0,0,0,1,1,0,1,0,1,0,1,0,42,488,0,15,12,0,0,0,0,24,2252,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,336,52,43,23,23,0,0,0,0,0
5546011,5057744,14,0,22,0,36511,5720,0,0,433,133,1,0,0,1,1,0,1,0,1,0,1,0,53,258,0,2,9,0,1,0,4,15,1367,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,69,19,30,1,2,82,82,0,92,256
4210690,1627576,8,0,8,0,9788,1682,0,0,160,46,0,0,0,1,1,0,1,0,1,0,1,0,63,185,0,6,35,0,0,0,0,28,819,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,63,11,5,0,0,418,0,0,0,418
