@RELATION testset

@ATTRIBUTE apk_size REAL
@ATTRIBUTE dex_size REAL
@ATTRIBUTE min_andrversion INTEGER
@ATTRIBUTE max_andrversion INTEGER
@ATTRIBUTE target_andrversion INTEGER
@ATTRIBUTE security {-1, 0}
@ATTRIBUTE methodCount INTEGER
@ATTRIBUTE classCount INTEGER
@ATTRIBUTE crypto_count INTEGER
@ATTRIBUTE dynCode_count INTEGER
@ATTRIBUTE native_count INTEGER
@ATTRIBUTE reflect_count INTEGER
@ATTRIBUTE sendSMS {1, 0}
@ATTRIBUTE deleteSMS {1, 0}
@ATTRIBUTE interruptSMS {1, 0}
@ATTRIBUTE httpPost {1, 0}
@ATTRIBUTE deviceId {1, 0}
@ATTRIBUTE simCountry {1, 0}
@ATTRIBUTE installedPkg {1, 0}
@ATTRIBUTE loadOtherCode {1, 0}
@ATTRIBUTE subprocess {1, 0}
@ATTRIBUTE executeOtherCode {1, 0}
@ATTRIBUTE jni {1, 0}
@ATTRIBUTE unix {1, 0}
@ATTRIBUTE buttonCount INTEGER
@ATTRIBUTE TextViewCount INTEGER
@ATTRIBUTE EditViewCount INTEGER
@ATTRIBUTE ImageButtonCount INTEGER
@ATTRIBUTE CheckBoxCount INTEGER
@ATTRIBUTE RadioGroupCount INTEGER
@ATTRIBUTE RadioButtonCount INTEGER
@ATTRIBUTE ToastCount INTEGER
@ATTRIBUTE SpinnerCount INTEGER
@ATTRIBUTE ListViewCount INTEGER
@ATTRIBUTE fileCount INTEGER
@ATTRIBUTE INTERNET {1, 0}
@ATTRIBUTE SET_DEBUG_APP {1, 0}
@ATTRIBUTE MODIFY_PHONE_STATE {1, 0}
@ATTRIBUTE RECORD_AUDIO {1, 0}
@ATTRIBUTE RECEIVE_BOOT_COMPLETED {1, 0}
@ATTRIBUTE RECEIVE_MMS {1, 0}
@ATTRIBUTE RECEIVE_SMS {1, 0}
@ATTRIBUTE RECEIVE_WAP_PUSH {1, 0}
@ATTRIBUTE SEND_SMS {1, 0}
@ATTRIBUTE CALL_PHONE {1, 0}
@ATTRIBUTE CALL_PRIVILEGED {1, 0}
@ATTRIBUTE PROCESS_OUTGOING_CALLS {1, 0}
@ATTRIBUTE READ_CALL_LOG {1, 0}
@ATTRIBUTE READ_EXTERNAL_STORAGE {1, 0}
@ATTRIBUTE READ_LOGS {1, 0}
@ATTRIBUTE ACCESS_COARSE_LOCATION {1, 0}
@ATTRIBUTE ACCESS_FINE_LOCATION {1, 0}
@ATTRIBUTE BLUETOOTH {1, 0}
@ATTRIBUTE CAMERA {1, 0}
@ATTRIBUTE INSTALL_PACKAGES {1, 0}
@ATTRIBUTE NFC {1, 0}
@ATTRIBUTE READ_CONTACTS {1, 0}
@ATTRIBUTE permissionCount INTEGER
@ATTRIBUTE activityCount INTEGER
@ATTRIBUTE serviceCount INTEGER
@ATTRIBUTE receiverCount INTEGER
@ATTRIBUTE providerCount INTEGER
@ATTRIBUTE exportedCount INTEGER

@DATA
224853.0,182752.0,5,0,0,-1,881,150,0,0,11,1,0,0,0,1,1,0,1,0,0,0,0,0,2,10,1,2,2,1,0,0,1,3,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0
783423.0,329296.0,3,0,0,-1,1510,244,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,2,0,0
1097737.0,281180.0,3,0,0,-1,1239,336,0,0,16,4,1,0,0,1,1,0,0,0,0,0,0,0,3,39,10,0,1,4,10,0,0,9,113,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,20,21,4,6,0,0
61483.0,90240.0,7,0,0,-1,246,50,0,0,12,4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,13,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,4,0,1
783416.0,329296.0,3,0,0,-1,1510,244,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,2,0,0
734992.0,331620.0,3,0,0,-1,1518,246,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,87,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,3,0,0
784667.0,331620.0,3,0,0,-1,1518,246,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,3,0,0
783419.0,329296.0,3,0,0,-1,1510,244,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,2,0,0
276333.0,225472.0,3,0,4,-1,836,162,0,0,35,4,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,5,0,0
792363.0,563772.0,7,0,0,-1,3802,560,0,0,36,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,30,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,4,0,7
33703.0,43340.0,3,0,0,-1,162,32,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,0,0
2004556.0,217344.0,1,0,0,-1,723,100,0,0,20,4,0,0,0,1,1,0,0,0,0,0,0,0,1,5,0,8,1,0,0,0,0,0,81,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,4,0,0
783417.0,329296.0,3,0,0,-1,1510,244,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,2,0,0
182570.0,216580.0,3,0,0,-1,948,153,0,0,22,4,0,0,0,1,1,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,2,53,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,1,4,0,0
784669.0,331620.0,3,0,0,-1,1518,246,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,3,0,0
1172436.0,141388.0,1,0,0,-1,443,74,0,0,19,4,0,0,0,1,1,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,1,50,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,12,4,1,4,0,0
783418.0,329296.0,3,0,0,-1,1510,244,0,0,33,6,1,1,0,1,1,0,0,0,0,0,0,0,11,19,1,0,2,0,0,0,0,4,81,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,19,9,2,2,0,0
33706.0,43340.0,3,0,0,-1,162,32,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,12,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,0,0
